利用調整日,保育施設名,施設類型,0歳・1歳・2歳,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,延長保育,緯度,経度
2025/6/1,駒場保育園,公立認可保育園,,0,0,1,2,4,3,24,35.6565735,139.6867123
2025/6/1,菅刈保育園,公立認可保育園,,0,0,0,5,2,7,17,35.65018267,139.695026
2025/6/1,田道保育園,公立認可保育園,,0,0,0,1,0,4,26,35.63488823,139.7062629
2025/6/1,不動保育園,公立認可保育園,,0,0,0,4,5,2,14,35.62639448,139.6994676
2025/6/1,中町保育園,公立認可保育園,,0,0,0,3,9,5,27,35.63420867,139.6948506
2025/6/1,祐天寺保育園,公立認可保育園,,6,0,0,4,7,4,30,35.63903048,139.694962
2025/6/1,中央町保育園,公立認可保育園,,2,0,0,0,7,3,25,35.63230244,139.688486
2025/6/1,目黒本町保育園,公立認可保育園,,3,0,0,2,4,1,23,35.62548425,139.6952552
2025/6/1,原町保育園,公立認可保育園,,0,0,0,0,0,1,21,35.61805661,139.6951719
2025/6/1,南保育園,公立認可保育園,,0,0,1,0,6,0,22,35.61384843,139.6892332
2025/6/1,ひもんや保育園,公立認可保育園,,0,0,2,1,11,1,25,35.62264873,139.6881379
2025/6/1,第三ひもんや保育園,公立認可保育園,,0,0,0,0,1,0,16,35.62176318,139.6810985
2025/6/1,大岡山保育園,公立認可保育園,,0,0,0,0,0,0,25,35.61019442,139.6805792
2025/6/1,八雲保育園,公立認可保育園,,0,0,0,0,0,0,15,35.6157766,139.6681186
2025/6/1,のぞみ保育園,私立認可保育園,,5,0,0,0,0,4,,35.65560208,139.6824455
2025/6/1,双葉の園保育園,私立認可保育園,,3,3,0,3,0,8,,35.65309511,139.6874284
2025/6/1,緑丘保育園,私立認可保育園,,0,0,0,0,2,0,,35.60799316,139.6727241
2025/6/1,東が丘保育園,私立認可保育園,,0,0,0,3,0,2,,35.62960995,139.6722004
2025/6/1,アスクバイリンガル保育園やくも,私立認可保育園,,0,0,0,0,0,0,,35.61423412,139.6674769
2025/6/1,コビープリスクールかみめぐろ,私立認可保育園,,0,0,4,0,0,0,,35.64436195,139.6894975
2025/6/1,夢花保育園,私立認可保育園,,0,0,0,0,1,0,,35.63323541,139.6907306
2025/6/1,桜のこみち保育園,私立認可保育園,,0,0,2,2,4,6,,35.63836514,139.7050862
2025/6/1,にじいろ保育園自由が丘,私立認可保育園,,0,0,1,5,1,2,,35.6098669,139.6705634
2025/6/1,アソシエ下目黒保育園,私立認可保育園,,0,0,3,4,4,0,,35.63316122,139.7107294
2025/6/1,まなびの森保育園目黒,私立認可保育園,,,1,0,0,0,1,,35.62945152,139.7107752
2025/6/1,蓮美幼児学園西小山ナーサリー,私立認可保育園,,0,0,0,0,0,0,,35.61654158,139.6963839
2025/6/1,キッズハウス池尻大橋,私立認可保育園,,2,2,6,2,3,3,,35.65372479,139.689389
2025/6/1,ベリーベア—インターナショナル保育園八雲,私立認可保育園,,2,0,2,2,3,2,,35.61661917,139.664827
2025/6/1,桑の実中目黒保育園,私立認可保育園,,0,0,0,2,0,1,,35.64396967,139.6920223
2025/6/1,アソシエ柿の木坂保育園,私立認可保育園,,0,0,0,0,0,0,,35.62452793,139.6767627
2025/6/1,アソシエ柿の木坂マミー保育園,私立認可保育園,,0,0,0,1,0,0,,35.61928856,139.67484
2025/6/1,さくらさくみらい　都立大,私立認可保育園,,,0,0,0,0,1,,35.61628895,139.682293
2025/6/1,中目黒ちとせ保育園,私立認可保育園,,0,0,1,0,1,2,,35.64122042,139.6992918
2025/6/1,モニカ都立大園 (注記4),私立認可保育園,,0,0,0,0,3,5,,35.61189749,139.6779377
2025/6/1,アスクバイリンガル保育園上目黒,私立認可保育園,,0,0,0,3,0,2,,35.63803233,139.6904445
2025/6/1,目黒かえで保育園,私立認可保育園,,0,0,0,0,5,0,,35.63080636,139.6882596
2025/6/1,野のゆり保育園,私立認可保育園,,1,0,1,2,0,2,,35.65349618,139.6883945
2025/6/1,キッズガーデン中目黒,私立認可保育園,,0,0,0,2,2,8,,35.64011007,139.7026685
2025/6/1,中目黒どろんこ保育園,私立認可保育園,,0,0,0,0,0,0,,35.63618488,139.7012401
2025/6/1,BunBu学院Jr.中目黒園,私立認可保育園,,0,1,0,1,1,1,,35.64801845,139.696464
2025/6/1,さくらさくみらい　目黒,私立認可保育園,,,1,2,3,3,10,,35.63371106,139.705916
2025/6/1,アソシエ目黒おおとり保育園,私立認可保育園,,1,0,2,0,3,0,,35.63217291,139.7070103
2025/6/1,ミアヘルサ保育園ゆらりん下目黒 (注記3),私立認可保育園,,0,0,1,3,3,6,,35.62798213,139.6969739
2025/6/1,油面ちとせ保育園,私立認可保育園,,1,0,0,0,0,0,,35.63242187,139.6993847
2025/6/1,ポピンズナーサリースクール洗足,私立認可保育園,,0,0,0,0,1,1,,35.60947296,139.6942492
2025/6/1,にじいろ保育園自由が丘目黒通り,私立認可保育園,,2,0,2,4,12,5,,35.61343468,139.6655262
2025/6/1,くれよん保育園 (注記2),私立認可保育園,,5,3,3,,,,,35.63527173,139.6921882
2025/6/1,くれよん保育園　分園 (注記2),私立認可保育園,,,,,5,8,6,,35.63515433,139.6922978
2025/6/1,アンジェリカ目黒本町保育園,私立認可保育園,,4,1,0,2,1,4,,35.62282352,139.6993754
2025/6/1,スクルドエンジェル保育園柿の木坂園,私立認可保育園,,,0,0,5,10,2,,35.62129319,139.6740977
2025/6/1,アソシエ大橋保育園,私立認可保育園,,0,0,2,4,4,4,,35.65227761,139.6854063
2025/6/1,アソシエ不動保育園,私立認可保育園,,4,0,0,2,4,0,,35.63066694,139.7038998
2025/6/1,インターナショナルアンジェリカ下目黒6丁目保育園 (注記1),私立認可保育園,,0,0,0,8,5,10,,35.62940794,139.6985269
2025/6/1,しいのき保育園,私立認可保育園,,2,0,0,3,0,0,,35.63441841,139.6888832
2025/6/1,にじいろ保育園学芸大学,私立認可保育園,,6,1,2,5,6,11,,35.63297739,139.6837312
2025/6/1,ちゃいれっく祐天寺駅前保育園,私立認可保育園,,1,0,0,2,7,4,,35.63664101,139.6916782
2025/6/1,にじいろ保育園原町,私立認可保育園,,0,0,0,0,0,0,,35.61616238,139.697821
2025/6/1,グローバルキッズ大岡山園,私立認可保育園,,0,0,0,1,1,2,,35.61393418,139.6881947
2025/6/1,アソシエ学芸大学南保育園,私立認可保育園,,0,0,0,1,1,0,,35.62615164,139.6856012
2025/6/1,さくらさくみらい　学芸大,私立認可保育園,,,0,2,5,7,7,,35.62772583,139.6847982
2025/6/1,さくらさくみらい　鷹番,私立認可保育園,,0,1,2,6,2,6,,35.62932391,139.6817338
2025/6/1,ポピンズナーサリースクール都立大学,私立認可保育園,,0,0,0,2,1,3,,35.61725136,139.6769413
2025/6/1,にじいろ保育園八雲,私立認可保育園,,5,0,1,3,6,4,,35.61400576,139.6656932
2025/6/1,にじいろ保育園東が丘,私立認可保育園,,0,0,0,8,3,5,,35.6306929,139.6665961
2025/6/1,西小山すみれ保育園,私立認可保育園,,0,0,0,1,2,2,,35.61657667,139.6970502
2025/6/1,いいほいくえん自由が丘,私立認可保育園,,,0,0,1,1,4,,35.60780139,139.671989
2025/6/1,目黒三田保育園キミトミライト,私立認可保育園,,,2,0,0,2,8,,35.64044023,139.7121786
2025/6/1,キッズガーデン上目黒,私立認可保育園,,5,4,5,1,4,5,,35.64232243,139.6875741
2025/6/1,さくらさくみらい　碑文谷,私立認可保育園,,0,0,0,5,7,5,,35.62417268,139.6830718
2025/6/1,グローバルキッズ目黒園,私立認可保育園,,1,1,0,4,5,3,,35.63069628,139.7063751
2025/6/1,アソシエ油面公園保育園,私立認可保育園,,5,0,0,5,5,0,,35.63223809,139.6961085
2025/6/1,アソシエ祐天寺西保育園,私立認可保育園,,2,0,2,3,5,6,,35.63642729,139.687798
2025/6/1,みらいく鷹番保育園,私立認可保育園,,0,0,1,1,9,5,,35.62811929,139.6902097
2025/6/1,まなびの森保育園学芸大学前,私立認可保育園,,0,1,0,0,1,0,,35.62676279,139.6939224
2025/6/1,ピュアリー目黒南保育園,私立認可保育園,,4,1,5,2,3,9,,35.61589248,139.686307
2025/6/1,目黒碑文谷雲母保育園,私立認可保育園,,2,0,2,4,1,2,,35.62441763,139.6794212
2025/6/1,アソシエ学芸大学東保育園,私立認可保育園,,0,0,0,0,4,4,,35.62700743,139.6909081
2025/6/1,アソシエ自由が丘保育園,私立認可保育園,,0,1,0,3,2,4,,35.60915819,139.6663014
2025/6/1,アイグラン保育園東が丘,私立認可保育園,,0,1,0,2,3,1,,35.6275518,139.6694508
2025/6/1,ウィズブック保育園東が丘,私立認可保育園,,0,0,0,0,4,6,,35.63063785,139.6643312
2025/6/1,アソシエ都立大学保育園,私立認可保育園,,0,0,0,0,2,3,,35.61881312,139.6783749
2025/6/1,アソシエ八雲ママン保育園,私立認可保育園,,0,0,0,2,0,3,,35.62104579,139.6688817
2025/6/1,双葉の園ひがしやま保育園,私立認可保育園,,0,0,0,3,0,1,,35.64627948,139.6869443
2025/6/1,中目黒駅前保育園,私立認可保育園,,0,0,0,1,1,2,,35.64437909,139.7000296
2025/6/1,目黒保育園,私立認可保育園,,0,0,2,2,1,3,,35.63589473,139.7113329
2025/6/1,AIAI　NURSERY　祐天寺,私立認可保育園,,1,0,0,2,3,3,,35.63797411,139.6883365
2025/6/1,キッズガーデン目黒三丁目,私立認可保育園,,1,1,2,4,6,9,,35.63551247,139.7062831
2025/6/1,さくらさくみらい 下目黒,私立認可保育園,,0,1,2,2,5,2,,35.62734976,139.7085387
2025/6/1,上目黒桜祐保育園,私立認可保育園,,2,4,7,3,5,13,,35.64282002,139.6920403
2025/6/1,目黒東山ちとせ保育園（本園）,私立認可保育園,,,0,1,4,1,2,,35.64792251,139.6904136
2025/6/1,碑文谷もみじの森保育園,私立認可保育園,,0,0,0,3,3,3,,35.62656458,139.6805
2025/6/1,みらいく下目黒保育園,私立認可保育園,,1,1,3,4,2,7,,35.62939517,139.7101471
2025/6/1,蓮美幼児学園祐天寺ナーサリー,私立認可保育園,,6,0,2,1,1,0,,35.63777895,139.6904309
2025/6/1,ここいく保育園碑文谷,私立認可保育園,,0,0,0,0,2,0,,35.62306087,139.6887989
2025/6/1,第二ひもんや保育園,私立認可保育園,,0,0,2,2,0,3,,35.62352848,139.6898963
2025/6/1,インターナショナルアンジェリカ下目黒2丁目保育園 (注記1),私立認可保育園,,0,0,0,,,,,35.63240872,139.7118794
2025/6/1,目黒天空ちとせ保育園,私立認可保育園,,0,0,0,3,1,3,,35.64870118,139.689642
2025/6/1,上目黒どろんこ,私立認可保育園,,0,0,0,0,0,3,,35.642053,139.694913
2025/6/1,げっこうはらこども園（長時間）,認定こども園,,,,,0,0,0,,35.62288779,139.6954608
2025/6/1,げっこうはらこども園（中時間）,認定こども園,,,,,0,5,2,,35.62288779,139.6954608
2025/6/1,みどりがおかこども園（長時間）,認定こども園,,,,,0,1,0,,35.60963012,139.6744273
2025/6/1,みどりがおかこども園（中時間）,認定こども園,,,,,0,5,0,,35.60963012,139.6744273
2025/6/1,HOPPA目黒保育園,小規模保育所,,1,1,0,,,,,35.6348848,139.7073595
2025/6/1,保育ルーム　目黒本町,小規模保育所,,1,0,1,,,,,35.62144661,139.6951745
2025/6/1,Baby One（ベイビーワン）,小規模保育所,,0,0,0,,,,,35.62574916,139.6856
2025/6/1,木下の保育園　都立大学,小規模保育所,,5,0,1,,,,,35.61662293,139.6755098
2025/6/1,不動さつき保育園 (注記3),小規模保育所,,2,3,1,,,,,35.63030433,139.702387
2025/6/1,ウィズブック保育園大岡山,小規模保育所,,0,0,0,,,,,35.60806,139.6842539
2025/6/1,モニカ緑が丘園A（連携あり） (注記4),小規模保育所,,0,0,0,,,,,35.60963012,139.6744273
2025/6/1,モニカ緑が丘園B（連携なし） (注記4),小規模保育所,,0,0,0,,,,,35.60963012,139.6744273
2025/6/1,BUNBUN GARDEN 学芸大学園,小規模保育所,,0,0,0,,,,,35.6296,139.684
2025/6/1,HOPPA中町保育園,小規模保育所,,2,0,2,,,,,35.6299,139.69833
2025/6/1,マザーグース都立大学園,小規模保育所,,0,0,0,,,,,35.6177,139.6766
2025/6/1,優っくり保育園,事業所型保育所,,0,0,1,,,,,35.631,139.688
2025/6/1,Jキッズピース三宿保育園,事業所型保育所,,0,4,0,,,,,35.6448,139.686
2025/6/1,横山（家庭福祉員）,,2,,,,,,,,35.622811,139.695689
2025/6/1,東條（家庭福祉員）,,0,,,,,,,,35.616487,139.696124
2025/6/1,山本（家庭福祉員）,,0,,,,,,,,35.62866,139.669127
2025/6/1,柏井（家庭福祉員）,,1,,,,,,,,35.657033,139.686825
2025/6/1,川端（家庭福祉員）,,1,,,,,,,,35.640842,139.691858
